Year     Snow     Accu     Melt    A_int    Runof      SMB     Disc      TMB   T_mean    PDD_t
1987   1040.2    866.8    457.9    151.6    306.2    560.6    498.6     62.0   -21.74     4.55
1988    886.2    738.5    407.2    131.3    275.9    462.6    498.0    -35.4   -21.88     4.11
1989    778.7    648.9    321.1    101.8    219.4    429.5    497.6    -68.1   -23.34     3.30
1990   1038.1    865.1    398.1    133.2    264.9    600.2    496.5    103.7   -22.84     4.03
1991    993.5    827.9    396.6    132.6    264.0    563.9    495.7     68.2   -21.91     4.07
1992    907.5    756.2    296.0    107.9    188.1    568.1    495.9     72.2   -23.10     3.07
1993    947.0    789.2    397.9    124.8    273.0    516.1    496.6     19.5   -23.10     4.01
1994    831.2    692.7    382.6    125.4    257.2    435.5    498.2    -62.7   -22.48     3.90
1995    834.2    695.2    447.2    135.1    312.1    383.1    501.5   -118.4   -22.08     4.47
1996   1147.1    955.9    366.6    150.8    215.8    740.1    506.0    234.1   -21.11     3.78
1997    908.2    756.9    379.3    129.6    249.7    507.2    513.7     -6.5   -21.79     3.96
1998    962.5    802.1    446.6    141.2    305.5    496.6    522.9    -26.3   -21.26     4.53
1999    897.3    747.7    395.0    131.6    263.5    484.3    535.5    -51.2   -22.01     3.96
2000   1037.0    864.2    457.2    153.9    303.3    560.9    548.7     12.2   -21.05     4.57
2001    861.3    717.7    506.3    153.0    353.3    364.4    562.5   -198.1   -21.06     5.05
2002    901.8    751.5    449.3    141.4    307.9    443.6    573.7   -130.1   -20.93     4.68
2003   1036.2    863.5    580.6    191.3    389.4    474.2    583.7   -109.5   -19.98     5.88
2004    927.6    773.0    460.1    155.6    304.4    468.6    596.8   -128.2   -20.65     4.74
2005   1014.8    845.7    488.6    160.4    328.2    517.4    607.7    -90.3   -20.19     4.90
2006    798.7    665.6    473.1    141.0    332.2    333.4    614.6   -281.2   -21.05     4.77
2007    898.9    749.1    489.9    146.4    343.5    405.6    621.6   -216.0   -20.84     4.93
2008    965.1    804.3    484.7    152.2    332.5    471.8    627.6   -155.8   -21.38     4.92
2009    776.0    646.7    468.8    127.5    341.3    305.4    637.8   -332.4   -21.12     4.79
2010    879.9    733.2    657.0    181.4    475.6    257.6    642.0   -384.4   -18.80     6.56
2011    879.9    733.2    533.1    157.9    375.1    358.1    646.2   -288.1   -20.62     5.31
